epoch,loss_data,loss_phys,loss_bc,lambda,loss_total
30,1.29336695e-02,3.01396728e+01,0.00000000e+00,59827.53855165,8.04023709e+02
31,1.28244755e-02,2.95305823e+01,0.00000000e+00,65670.36366596,8.71899019e+02
32,1.27946205e-02,2.81089510e+01,0.00000000e+00,44582.11810004,6.03830230e+02
33,1.27064459e-02,2.57341982e+01,0.00000000e+00,35583.37422747,4.65827752e+02
34,1.27556284e-02,2.38261874e+01,0.00000000e+00,42127.75892221,5.63572693e+02
35,1.25489174e-02,2.38334053e+01,0.00000000e+00,51549.65249089,6.75947174e+02
36,1.25194911e-02,2.31265067e+01,0.00000000e+00,37918.32238494,4.96280341e+02
37,1.28255771e-02,2.23383117e+01,0.00000000e+00,48321.24388588,6.38245394e+02
38,1.25282938e-02,2.17023911e+01,0.00000000e+00,75303.59007685,9.59999046e+02
39,1.28181858e-02,2.23916388e+01,0.00000000e+00,63461.65154147,8.12963284e+02
40,1.22472929e-02,2.01850133e+01,0.00000000e+00,29275.50732359,3.77643671e+02
41,1.24317292e-02,2.04067564e+01,0.00000000e+00,110880.25553318,1.40329261e+03
42,1.30096367e-02,2.10614331e+01,0.00000000e+00,58291.58355778,7.81867855e+02
43,1.22816486e-02,1.92734676e+01,0.00000000e+00,44470.72621752,5.67450616e+02
44,1.22343920e-02,1.85934242e+01,0.00000000e+00,37302.01856777,4.73500673e+02
45,1.22210723e-02,1.74807389e+01,0.00000000e+00,43631.75837611,5.42685205e+02
46,1.21891357e-02,1.75604482e+01,0.00000000e+00,54182.00906660,6.89310989e+02
47,1.20868978e-02,1.68327660e+01,0.00000000e+00,61169.47292296,7.69279342e+02
48,1.20416414e-02,1.67863405e+01,0.00000000e+00,39591.24738814,4.93404733e+02
49,1.18419874e-02,1.55157700e+01,0.00000000e+00,40662.27881540,5.06148367e+02
50,1.20016499e-02,1.53107569e+01,0.00000000e+00,43850.66113905,5.46312880e+02
51,1.18143729e-02,1.51746471e+01,0.00000000e+00,55458.44342118,6.72181298e+02
52,1.19567653e-02,1.48436682e+01,0.00000000e+00,46260.12289953,5.51991225e+02
53,1.19051306e-02,1.46596203e+01,0.00000000e+00,83807.28881022,1.01613196e+03
54,1.21344918e-02,1.51115249e+01,0.00000000e+00,40580.11015089,5.02404299e+02
55,1.17915746e-02,1.35565825e+01,0.00000000e+00,39917.33373547,4.82256362e+02
56,1.18485500e-02,1.32682382e+01,0.00000000e+00,31478.08378313,3.80382288e+02
57,1.14606201e-02,1.25652228e+01,0.00000000e+00,32884.26671545,3.90683519e+02
58,1.14138592e-02,1.25291136e+01,0.00000000e+00,41381.25470928,4.84844717e+02
59,1.14645714e-02,1.22217171e+01,0.00000000e+00,41131.22015683,4.91948653e+02
60,1.14066702e-02,1.20683135e+01,0.00000000e+00,53813.39322684,6.25172931e+02
61,1.15292784e-02,1.19470806e+01,0.00000000e+00,29891.06341395,3.54690440e+02
62,1.12968632e-02,1.11958988e+01,0.00000000e+00,22671.76676588,2.58526290e+02
63,1.13840658e-02,1.07898027e+01,0.00000000e+00,33024.47193034,3.86905372e+02
64,1.14560271e-02,1.04618220e+01,0.00000000e+00,19620.01250923,2.32023857e+02
65,1.13423271e-02,1.04163747e+01,0.00000000e+00,68379.55077060,7.91835213e+02
66,1.17952467e-02,1.15797120e+01,0.00000000e+00,79060.05934206,9.57458472e+02
67,1.12004506e-02,1.06579089e+01,0.00000000e+00,41929.98339530,4.90687383e+02
68,1.10787999e-02,1.01493111e+01,0.00000000e+00,24945.41786799,2.87118562e+02
69,1.12237019e-02,9.65250578e+00,0.00000000e+00,27995.25114905,3.25330599e+02
70,1.10779052e-02,9.56968475e+00,0.00000000e+00,24384.08807265,2.80454976e+02
71,1.11389000e-02,9.19903989e+00,0.00000000e+00,37544.49527348,4.28236760e+02
72,1.10837238e-02,9.04428134e+00,0.00000000e+00,19263.07797119,2.22329410e+02
73,1.09326759e-02,8.75065951e+00,0.00000000e+00,19446.72704726,2.21330479e+02
74,1.09587194e-02,8.40610550e+00,0.00000000e+00,19518.10060578,2.22252266e+02
75,1.09323829e-02,8.25862287e+00,0.00000000e+00,36214.71206939,4.05479010e+02
76,1.08502477e-02,8.40417194e+00,0.00000000e+00,27938.28451787,3.02199916e+02
77,1.10036036e-02,8.18847277e+00,0.00000000e+00,32351.52995886,3.65776262e+02
78,1.09620278e-02,7.95770693e+00,0.00000000e+00,22913.33996857,2.66010277e+02
79,1.09537164e-02,7.66941725e+00,0.00000000e+00,17223.05916877,1.97212479e+02
80,1.09185935e-02,7.49461385e+00,0.00000000e+00,15865.52995657,1.79370310e+02
81,1.07806905e-02,7.28230419e+00,0.00000000e+00,22203.97732980,2.48419838e+02
82,1.10809591e-02,7.12403305e+00,0.00000000e+00,21262.23571912,2.45973636e+02
83,1.08372424e-02,7.19728337e+00,0.00000000e+00,36845.78292852,4.08299409e+02
84,1.10652984e-02,6.97628271e+00,0.00000000e+00,18742.24715041,2.13995376e+02
85,1.09863683e-02,6.94502518e+00,0.00000000e+00,23815.94259507,2.67219824e+02
86,1.09597711e-02,6.73760721e+00,0.00000000e+00,28149.27517281,3.16841543e+02
87,1.10364485e-02,6.81492873e+00,0.00000000e+00,24992.65241903,2.81737905e+02
88,1.07231135e-02,6.66547865e+00,0.00000000e+00,16233.31965520,1.77967397e+02
89,1.08914482e-02,6.39401772e+00,0.00000000e+00,15483.04400998,1.70477302e+02
90,1.07774376e-02,6.25520321e+00,0.00000000e+00,20186.04198783,2.24175702e+02
91,1.06487831e-02,6.18122083e+00,0.00000000e+00,18811.13433036,2.10441411e+02
92,1.09875881e-02,6.09368707e+00,0.00000000e+00,11972.06884234,1.40290184e+02
93,1.08731740e-02,5.77872486e+00,0.00000000e+00,15436.90433181,1.75852655e+02
94,1.07351921e-02,5.81859543e+00,0.00000000e+00,32734.52091344,3.56643129e+02
95,1.08218952e-02,5.95233121e+00,0.00000000e+00,26465.75095185,2.91092715e+02
96,1.08295317e-02,5.83177797e+00,0.00000000e+00,16776.93883961,1.89878317e+02
97,1.08479745e-02,5.64698725e+00,0.00000000e+00,13400.86622301,1.47811957e+02
98,1.07794456e-02,5.44508262e+00,0.00000000e+00,19586.47331873,2.11628752e+02
99,1.06168349e-02,5.55568230e+00,0.00000000e+00,30710.59026652,3.35816604e+02
100,1.07907228e-02,5.64573766e+00,0.00000000e+00,20465.95420338,2.26975801e+02
101,1.06266307e-02,5.26671535e+00,0.00000000e+00,8105.95384349,9.13939231e+01
102,1.06687438e-02,5.11912018e+00,0.00000000e+00,10360.10344822,1.26914464e+02
103,1.06670346e-02,5.16701749e+00,0.00000000e+00,18473.15731778,2.02629753e+02
104,1.06784807e-02,4.95404589e+00,0.00000000e+00,11910.23688788,1.32211821e+02
105,1.05048726e-02,4.89486900e+00,0.00000000e+00,18301.75103910,1.99742403e+02
106,1.06508596e-02,4.82388839e+00,0.00000000e+00,13145.13247879,1.47207223e+02
107,1.06454026e-02,4.85867061e+00,0.00000000e+00,22146.06573110,2.38822035e+02
108,1.07942661e-02,4.75704332e+00,0.00000000e+00,20598.75992897,2.25892453e+02
109,1.08033561e-02,4.73616514e+00,0.00000000e+00,17343.74866253,1.90634495e+02
110,1.05304025e-02,4.62307279e+00,0.00000000e+00,11763.80964655,1.30034541e+02
111,1.06283592e-02,4.57073823e+00,0.00000000e+00,21439.77008819,2.34497983e+02
112,1.05765485e-02,4.45493837e+00,0.00000000e+00,11635.92961143,1.28618537e+02
113,1.03615703e-02,4.39779966e+00,0.00000000e+00,16364.71232014,1.74466648e+02
114,1.04392263e-02,4.38600753e+00,0.00000000e+00,14050.93077356,1.51215667e+02
115,1.03973622e-02,4.36202547e+00,0.00000000e+00,16328.40166624,1.73612055e+02
116,1.04754245e-02,4.27967080e+00,0.00000000e+00,20330.19185641,2.17764015e+02
117,1.06332593e-02,4.30318421e+00,0.00000000e+00,16921.66306042,1.84569096e+02
118,1.05901942e-02,4.39860559e+00,0.00000000e+00,22058.53150183,2.43435727e+02
119,1.05018086e-02,4.30958283e+00,0.00000000e+00,19033.73839632,2.06398236e+02
120,1.07073679e-02,4.23540903e+00,0.00000000e+00,17636.32578454,1.90406121e+02
121,1.05186932e-02,4.17020694e+00,0.00000000e+00,10587.91156081,1.13679725e+02
122,1.03997410e-02,3.99573335e+00,0.00000000e+00,11801.89466187,1.25576461e+02
123,1.03271568e-02,3.95469458e+00,0.00000000e+00,15668.52322123,1.65240879e+02
124,1.03858721e-02,3.85251124e+00,0.00000000e+00,16335.23239027,1.75094345e+02
125,1.06207600e-02,4.02556272e+00,0.00000000e+00,17257.85081240,1.81184401e+02
126,1.05670152e-02,3.91805546e+00,0.00000000e+00,23305.26439438,2.47533117e+02
127,1.04486548e-02,3.80280478e+00,0.00000000e+00,8558.44674580,9.32790850e+01
128,1.03469732e-02,3.70798918e+00,0.00000000e+00,14093.66694526,1.44293088e+02
129,1.04501719e-02,3.69050895e+00,0.00000000e+00,15274.53630158,1.63346665e+02
130,1.03414406e-02,3.71874514e+00,0.00000000e+00,12130.34239373,1.29221372e+02
131,1.04102776e-02,3.68083058e+00,0.00000000e+00,17289.09975282,1.81537267e+02
132,1.03954131e-02,3.62386345e+00,0.00000000e+00,9182.85392520,9.75942967e+01
133,1.02180497e-02,3.53759237e+00,0.00000000e+00,18966.99638471,1.96043012e+02
134,1.02630501e-02,3.53751967e+00,0.00000000e+00,13879.02223229,1.49613826e+02
135,1.01590611e-02,3.50361987e+00,0.00000000e+00,9863.17451189,1.04697454e+02
136,1.02277277e-02,3.37324015e+00,0.00000000e+00,9413.10125528,9.86088190e+01
137,1.04313019e-02,3.28188423e+00,0.00000000e+00,9717.67587351,1.03978815e+02
138,1.01773428e-02,3.25494846e+00,0.00000000e+00,10553.89897334,1.10705377e+02
139,1.03373403e-02,3.28306394e+00,0.00000000e+00,19969.55882660,2.16103731e+02
140,1.03506343e-02,3.33786806e+00,0.00000000e+00,15700.44601485,1.66487086e+02
141,1.03051188e-02,3.22809451e+00,0.00000000e+00,13354.04338748,1.41016516e+02
142,1.03098719e-02,3.20247002e+00,0.00000000e+00,12236.69518996,1.27061559e+02
143,1.02361650e-02,3.13158006e+00,0.00000000e+00,5071.51639290,5.53051886e+01
144,1.02851579e-02,3.03344771e+00,0.00000000e+00,8805.33215831,9.23867611e+01
145,1.03069913e-02,2.99555188e+00,0.00000000e+00,15613.35632638,1.67505318e+02
146,1.03388280e-02,3.06187490e+00,0.00000000e+00,15491.09445510,1.62672897e+02
147,1.02479046e-02,2.99666046e+00,0.00000000e+00,10051.14733724,1.06239187e+02
148,1.03767907e-02,3.00372328e+00,0.00000000e+00,12003.84113540,1.27526926e+02
149,1.01389274e-02,2.87624612e+00,0.00000000e+00,6972.86807232,7.34931147e+01
150,1.01246560e-02,2.89390096e+00,0.00000000e+00,18757.35422709,1.91052740e+02
151,1.02597490e-02,2.95927243e+00,0.00000000e+00,12786.99795698,1.30778506e+02
152,1.02375249e-02,2.92613336e+00,0.00000000e+00,13686.07451155,1.41507204e+02
153,1.02305389e-02,2.89071194e+00,0.00000000e+00,22572.11755175,2.38923225e+02
154,1.01499969e-02,2.90591404e+00,0.00000000e+00,13408.40099267,1.39013103e+02
155,1.03156983e-02,2.89508129e+00,0.00000000e+00,7234.50371765,7.94388073e+01
156,1.02607793e-02,2.74629731e+00,0.00000000e+00,14208.69633497,1.57008505e+02
157,1.05695151e-02,2.82665241e+00,0.00000000e+00,14651.13575474,1.49670108e+02
158,1.01926858e-02,2.81840510e+00,0.00000000e+00,15785.63069109,1.62515314e+02
159,1.04771919e-02,2.78406335e+00,0.00000000e+00,13763.90371170,1.45317308e+02
160,1.03141920e-02,2.70654838e+00,0.00000000e+00,9231.39521864,9.62751433e+01
161,1.03120966e-02,2.81523683e+00,0.00000000e+00,25902.86607657,2.72089146e+02
162,1.02273600e-02,2.76730948e+00,0.00000000e+00,17923.37218358,1.86762469e+02
163,1.03093486e-02,2.67388221e+00,0.00000000e+00,11425.97632478,1.20452361e+02
164,9.99598029e-03,2.72502244e+00,0.00000000e+00,21802.20382123,2.17493817e+02
165,1.05005672e-02,2.90790904e+00,0.00000000e+00,16759.47789123,1.82596628e+02
166,1.04315228e-02,2.76192877e+00,0.00000000e+00,13152.46943028,1.42324591e+02
167,1.00218756e-02,2.58173674e+00,0.00000000e+00,14218.83918110,1.40843845e+02
168,1.02266613e-02,2.56600543e+00,0.00000000e+00,16336.67855694,1.78693356e+02
169,1.02733278e-02,2.62377626e+00,0.00000000e+00,18369.05705421,1.88347582e+02
170,1.00339870e-02,2.59509493e+00,0.00000000e+00,15186.54198634,1.54922452e+02
171,1.00527862e-02,2.67637380e+00,0.00000000e+00,20523.25982092,2.06723410e+02
172,9.98739228e-03,2.54426402e+00,0.00000000e+00,11519.87962754,1.16796408e+02
173,9.98455571e-03,2.48675740e+00,0.00000000e+00,12376.56121096,1.27385481e+02
174,1.00466487e-02,2.40913478e+00,0.00000000e+00,7223.39931049,7.47760016e+01
175,1.01109515e-02,2.38628670e+00,0.00000000e+00,14163.01903135,1.55920424e+02
176,1.00401562e-02,2.58101172e+00,0.00000000e+00,22163.34384343,2.25575583e+02
177,1.01764320e-02,2.58644432e+00,0.00000000e+00,10105.80027645,1.06461537e+02
178,9.86443507e-03,2.32576832e+00,0.00000000e+00,8427.62103778,8.51943423e+01
179,9.96484314e-03,2.32111747e+00,0.00000000e+00,13699.49354235,1.39202248e+02
180,9.99259446e-03,2.30301910e+00,0.00000000e+00,13684.93636200,1.40593686e+02
181,9.88437924e-03,2.31796391e+00,0.00000000e+00,15451.58664210,1.46768098e+02
182,1.03289771e-02,2.33635294e+00,0.00000000e+00,11968.25885931,1.20143881e+02
183,9.98784413e-03,2.24893479e+00,0.00000000e+00,20547.64927945,2.06017844e+02
184,1.01219763e-02,2.36889219e+00,0.00000000e+00,8633.82703882,8.97844014e+01
185,1.03870863e-02,2.31491616e+00,0.00000000e+00,19967.93767359,2.02948904e+02
186,9.95166724e-03,2.38112729e+00,0.00000000e+00,10336.22455135,1.06754029e+02
187,9.88575146e-03,2.17969476e+00,0.00000000e+00,8120.04566110,8.39162436e+01
188,9.85984112e-03,2.13535052e+00,0.00000000e+00,7318.99653751,7.45278254e+01
189,9.85755166e-03,2.05850506e+00,0.00000000e+00,9419.49127105,9.38816807e+01
190,9.96292494e-03,2.05525690e+00,0.00000000e+00,10991.16099053,1.11740090e+02
191,9.97466683e-03,2.02503285e+00,0.00000000e+00,6208.58970287,6.49043088e+01
192,9.96281107e-03,1.98610578e+00,0.00000000e+00,6521.18947111,6.80493611e+01
193,1.00842026e-02,2.01885899e+00,0.00000000e+00,12682.47498771,1.29188551e+02
194,9.94661793e-03,2.08362252e+00,0.00000000e+00,20119.74740696,2.06458518e+02
195,9.88308495e-03,2.08115224e+00,0.00000000e+00,17270.34582465,1.72155679e+02
196,1.01004095e-02,2.11619557e+00,0.00000000e+00,20053.65303235,2.04012458e+02
197,9.94970899e-03,2.35800743e+00,0.00000000e+00,15343.62309618,1.56410597e+02
198,1.01235293e-02,2.18868432e+00,0.00000000e+00,17528.93910974,1.78253104e+02
199,9.84139313e-03,1.99584094e+00,0.00000000e+00,6914.24907795,7.03290649e+01
200,9.80680242e-03,1.97174016e+00,0.00000000e+00,12554.52967120,1.26378986e+02
201,1.02574079e-02,2.13971444e+00,0.00000000e+00,18737.97746982,1.92276734e+02
202,1.00490076e-02,2.13920925e+00,0.00000000e+00,10986.40696099,1.12401431e+02
203,9.98521679e-03,2.04878409e+00,0.00000000e+00,17519.19660232,1.79357611e+02
204,9.93952257e-03,2.13025077e+00,0.00000000e+00,12901.55664991,1.27988369e+02
205,9.88012975e-03,1.97561061e+00,0.00000000e+00,8947.57444911,8.75019120e+01
206,9.99670944e-03,1.99618345e+00,0.00000000e+00,13440.99599833,1.35782878e+02
207,9.66662035e-03,1.94051494e+00,0.00000000e+00,8429.29240551,8.16315502e+01
208,9.87429549e-03,1.96544674e+00,0.00000000e+00,8840.50650622,8.96517783e+01
209,1.02589678e-02,1.87179965e+00,0.00000000e+00,18307.83418042,1.89073704e+02
210,9.91228760e-03,2.08058255e+00,0.00000000e+00,13225.43839361,1.33702235e+02
211,9.82877940e-03,1.81036780e+00,0.00000000e+00,9426.44433600,9.30319204e+01
212,9.67228086e-03,1.74768902e+00,0.00000000e+00,8592.88701551,8.34105139e+01
213,9.67397870e-03,1.78082870e+00,0.00000000e+00,13106.86923629,1.28975305e+02
214,9.80654978e-03,1.87555185e+00,0.00000000e+00,17680.93497354,1.75104682e+02
215,9.87097860e-03,1.77956005e+00,0.00000000e+00,11691.78671004,1.15125869e+02
216,9.55905912e-03,1.80002772e+00,0.00000000e+00,8175.31041679,7.45108794e+01
217,9.59830780e-03,1.72872514e+00,0.00000000e+00,18141.32248259,1.75719874e+02
218,9.68927374e-03,1.82816402e+00,0.00000000e+00,10367.02717914,1.02764806e+02
219,9.64367348e-03,1.85734486e+00,0.00000000e+00,18845.92134105,1.71200436e+02
220,1.03560439e-02,2.27062654e+00,0.00000000e+00,26647.58083446,2.83895616e+02
221,1.04990796e-02,1.93847374e+00,0.00000000e+00,14149.09249232,1.47409572e+02
222,1.06225292e-02,2.15871730e+00,0.00000000e+00,5178.98747276,5.64258855e+01
223,9.67502508e-03,1.96916790e+00,0.00000000e+00,19153.65948994,1.89469638e+02
224,9.92178577e-03,2.09903051e+00,0.00000000e+00,24680.65634266,2.43658017e+02
225,9.72659386e-03,2.06154787e+00,0.00000000e+00,30396.29593372,2.98452274e+02
226,9.69589109e-03,1.92959313e+00,0.00000000e+00,13737.02318003,1.34972215e+02
227,9.68444100e-03,1.78823239e+00,0.00000000e+00,14011.05255349,1.37508324e+02
228,9.36433232e-03,1.68449243e+00,0.00000000e+00,7866.11190832,7.58215948e+01
229,9.43714686e-03,1.60467863e+00,0.00000000e+00,10764.70165183,1.02065020e+02
230,9.42243441e-03,1.70416480e+00,0.00000000e+00,10514.65345311,1.00654873e+02
231,9.57832815e-03,1.65676316e+00,0.00000000e+00,14067.94096488,1.26826691e+02
232,9.60417960e-03,1.74215219e+00,0.00000000e+00,17062.67002774,1.67052490e+02
233,9.47811999e-03,1.74179426e+00,0.00000000e+00,17236.49160390,1.64820795e+02
234,9.56201529e-03,1.65070545e+00,0.00000000e+00,11173.30803856,1.08291480e+02
235,9.57563609e-03,1.59007685e+00,0.00000000e+00,12447.34356797,1.19587464e+02
236,9.72634163e-03,1.69316423e+00,0.00000000e+00,15511.89986902,1.53654709e+02
237,9.99093022e-03,1.82339637e+00,0.00000000e+00,12116.25577787,1.26051120e+02
238,9.51214200e-03,1.53844395e+00,0.00000000e+00,8865.79248631,8.84053959e+01
239,9.83651363e-03,1.86198787e+00,0.00000000e+00,21977.21822487,2.20222325e+02
240,9.92145049e-03,2.23778832e+00,0.00000000e+00,19873.77000736,1.99433519e+02
241,9.57888918e-03,1.90488499e+00,0.00000000e+00,13840.36563793,1.37522412e+02
242,9.50622220e-03,1.61401696e+00,0.00000000e+00,11005.50990099,1.09709420e+02
243,9.35431008e-03,1.52293415e+00,0.00000000e+00,15960.32004698,1.49616794e+02
244,1.21709067e-02,2.28907652e+00,0.00000000e+00,29520.79222471,3.42478011e+02
245,1.05543027e-02,2.89076931e+00,0.00000000e+00,13262.99581396,1.40883367e+02
246,9.72845591e-03,1.70633680e+00,0.00000000e+00,12510.64328779,1.26187508e+02
247,9.74756652e-03,1.78543691e+00,0.00000000e+00,19658.58457113,1.93696063e+02
248,9.44510135e-03,1.65673732e+00,0.00000000e+00,16096.21418458,1.53973201e+02
249,9.27813775e-03,1.65246223e+00,0.00000000e+00,9883.74249492,9.49793297e+01
250,9.18804356e-03,1.56994860e+00,0.00000000e+00,9644.76723083,8.89540944e+01
251,9.34947568e-03,1.49465636e+00,0.00000000e+00,10460.14090742,9.81898319e+01
252,9.33112368e-03,1.51970964e+00,0.00000000e+00,18047.94126171,1.73559550e+02
253,1.02197682e-02,1.63198324e+00,0.00000000e+00,16508.51027232,1.62264300e+02
254,9.44633764e-03,1.72454016e+00,0.00000000e+00,11611.40467688,1.10193922e+02
255,9.14276613e-03,1.41679051e+00,0.00000000e+00,9983.06385564,9.40085094e+01
256,9.22234102e-03,1.31673143e+00,0.00000000e+00,5599.16833825,5.28825251e+01
257,9.30018916e-03,1.30900525e+00,0.00000000e+00,7652.76069920,7.29207262e+01
258,9.37534503e-03,1.38112328e+00,0.00000000e+00,18216.61521601,1.71133766e+02
259,9.61797433e-03,1.60570022e+00,0.00000000e+00,18317.39159619,1.77451833e+02
260,9.58969703e-03,1.63879674e+00,0.00000000e+00,19601.64304692,1.90901416e+02
261,1.40331826e-02,2.22755487e+00,0.00000000e+00,31473.74071369,3.68790001e+02
262,1.24329175e-02,2.55292674e+00,0.00000000e+00,7486.20576139,8.91961485e+01
263,9.83107117e-03,1.58736795e+00,0.00000000e+00,10633.01011758,1.04421013e+02
264,9.05406464e-03,1.33188519e+00,0.00000000e+00,5229.22412869,4.92409064e+01
265,9.14767699e-03,1.32747891e+00,0.00000000e+00,10313.60004813,9.67602451e+01
266,9.17886350e-03,1.37006702e+00,0.00000000e+00,12598.09083166,1.09673461e+02
267,9.55875380e-03,1.51261556e+00,0.00000000e+00,25336.62625695,2.44680262e+02
268,9.42150501e-03,1.52660026e+00,0.00000000e+00,15620.57337012,1.48044326e+02
269,9.20472225e-03,1.42508906e+00,0.00000000e+00,6915.20819378,6.59264152e+01
270,9.04171533e-03,1.33254645e+00,0.00000000e+00,10913.93622631,9.94866521e+01
271,9.08172634e-03,1.32261349e+00,0.00000000e+00,11829.50486021,1.07266318e+02
272,9.05444587e-03,1.44003181e+00,0.00000000e+00,15220.72195410,1.41269776e+02
273,9.24457812e-03,1.40377432e+00,0.00000000e+00,12963.57456596,1.21632360e+02
274,9.06775476e-03,1.37944546e+00,0.00000000e+00,14643.12399424,1.36337017e+02
275,9.41425834e-03,1.41297035e+00,0.00000000e+00,13734.59765268,1.30462260e+02
276,9.16219542e-03,1.46915804e+00,0.00000000e+00,20301.04209234,1.85996790e+02
277,9.32698940e-03,1.56302135e+00,0.00000000e+00,8417.07105241,7.95437107e+01
278,9.33384045e-03,1.40854715e+00,0.00000000e+00,17719.58385914,1.65326021e+02
279,9.07122116e-03,1.27038091e+00,0.00000000e+00,10087.90904838,9.22125856e+01
280,9.39761299e-03,1.33776722e+00,0.00000000e+00,18580.73146449,1.76835448e+02
281,9.57416505e-03,1.62201462e+00,0.00000000e+00,12966.78406028,1.26279146e+02
282,9.06391291e-03,1.44183238e+00,0.00000000e+00,21308.67591093,1.90207981e+02
283,9.31722260e-03,1.58749174e+00,0.00000000e+00,25238.04453796,2.30761449e+02
284,9.10545780e-03,1.49465673e+00,0.00000000e+00,7402.42401479,6.87944721e+01
285,9.35583305e-03,1.42739282e+00,0.00000000e+00,22769.92862377,2.04499934e+02
286,9.18216973e-03,1.49959145e+00,0.00000000e+00,15712.84289726,1.47125518e+02
287,9.12986230e-03,1.36109427e+00,0.00000000e+00,13801.23177333,1.28128694e+02
288,9.00449543e-03,1.24344980e+00,0.00000000e+00,7486.35110471,6.79791185e+01
289,8.94688584e-03,1.33868412e+00,0.00000000e+00,16129.65281666,1.42767177e+02
290,9.32054327e-03,1.52547153e+00,0.00000000e+00,19868.51194608,1.82796978e+02
291,9.32693136e-03,1.61850599e+00,0.00000000e+00,15734.62352873,1.48597872e+02
292,8.84422548e-03,1.52986224e+00,0.00000000e+00,10554.51704305,9.48914481e+01
293,9.32573452e-03,1.55739283e+00,0.00000000e+00,16008.88469461,1.53000512e+02
294,9.10199628e-03,1.32459606e+00,0.00000000e+00,20518.04757392,1.88266553e+02
295,9.14675466e-03,1.51829852e+00,0.00000000e+00,22604.66740289,2.08486164e+02
296,9.44111587e-03,1.63771340e+00,0.00000000e+00,20159.84702257,1.92955265e+02
297,8.85883632e-03,1.35487197e+00,0.00000000e+00,13452.79324213,1.19575570e+02
298,9.04070184e-03,1.29824506e+00,0.00000000e+00,12825.83816204,1.16361306e+02
299,8.77003236e-03,1.29992267e+00,0.00000000e+00,14064.68840690,1.25590420e+02
300,8.96656433e-03,1.34052905e+00,0.00000000e+00,6956.79059102,6.37731796e+01
301,8.97881944e-03,1.31129107e+00,0.00000000e+00,23860.11557787,2.20411051e+02
302,8.89866535e-03,1.25994759e+00,0.00000000e+00,15620.91102824,1.40435451e+02
303,8.74520236e-03,1.27849453e+00,0.00000000e+00,14833.63070445,1.30953735e+02
304,8.64621064e-03,1.31779979e+00,0.00000000e+00,11176.12518216,9.90926324e+01
305,8.78913081e-03,1.41872742e+00,0.00000000e+00,10374.49585258,9.16991151e+01
306,8.68365859e-03,1.37027477e+00,0.00000000e+00,12426.98609821,1.10886595e+02
307,8.87275891e-03,1.25310447e+00,0.00000000e+00,13900.65411437,1.17665959e+02
308,8.87027889e-03,1.27698626e+00,0.00000000e+00,19461.84016199,1.75724933e+02
309,9.02554883e-03,1.60661143e+00,0.00000000e+00,17374.74396101,1.59777699e+02
