epoch,loss_data,loss_phys,lambda,loss_total
31,3.28520302e-01,0.00000000e+00,1.00000000,3.28520302e-01
32,3.22238623e-01,0.00000000e+00,1.00000000,3.22238623e-01
33,3.17029575e-01,0.00000000e+00,1.00000000,3.17029575e-01
34,3.12637274e-01,0.00000000e+00,1.00000000,3.12637274e-01
35,3.08861618e-01,0.00000000e+00,1.00000000,3.08861618e-01
36,3.04944344e-01,0.00000000e+00,1.00000000,3.04944344e-01
37,3.02129591e-01,0.00000000e+00,1.00000000,3.02129591e-01
38,2.97624169e-01,0.00000000e+00,1.00000000,2.97624169e-01
39,2.94795178e-01,0.00000000e+00,1.00000000,2.94795178e-01
40,2.92199004e-01,0.00000000e+00,1.00000000,2.92199004e-01
41,2.90882781e-01,0.00000000e+00,1.00000000,2.90882781e-01
42,2.84105806e-01,0.00000000e+00,1.00000000,2.84105806e-01
43,2.82904105e-01,0.00000000e+00,1.00000000,2.82904105e-01
44,2.76017653e-01,0.00000000e+00,1.00000000,2.76017653e-01
45,2.69554212e-01,0.00000000e+00,1.00000000,2.69554212e-01
46,2.66361626e-01,0.00000000e+00,1.00000000,2.66361626e-01
47,2.63202244e-01,0.00000000e+00,1.00000000,2.63202244e-01
48,2.58099019e-01,0.00000000e+00,1.00000000,2.58099019e-01
49,2.54280002e-01,0.00000000e+00,1.00000000,2.54280002e-01
50,2.51119590e-01,0.00000000e+00,1.00000000,2.51119590e-01
51,2.46621793e-01,0.00000000e+00,1.00000000,2.46621793e-01
52,2.42273789e-01,0.00000000e+00,1.00000000,2.42273789e-01
53,2.39829790e-01,0.00000000e+00,1.00000000,2.39829790e-01
54,2.35209948e-01,0.00000000e+00,1.00000000,2.35209948e-01
55,2.35057201e-01,0.00000000e+00,1.00000000,2.35057201e-01
56,2.28876712e-01,0.00000000e+00,1.00000000,2.28876712e-01
57,2.28641856e-01,0.00000000e+00,1.00000000,2.28641856e-01
58,2.25483262e-01,0.00000000e+00,1.00000000,2.25483262e-01
59,2.22800777e-01,0.00000000e+00,1.00000000,2.22800777e-01
60,2.22587879e-01,0.00000000e+00,1.00000000,2.22587879e-01
61,2.19968548e-01,0.00000000e+00,1.00000000,2.19968548e-01
62,2.21207027e-01,0.00000000e+00,1.00000000,2.21207027e-01
63,2.13712988e-01,0.00000000e+00,1.00000000,2.13712988e-01
64,2.11820548e-01,0.00000000e+00,1.00000000,2.11820548e-01
65,2.07221864e-01,0.00000000e+00,1.00000000,2.07221864e-01
66,2.04939849e-01,0.00000000e+00,1.00000000,2.04939849e-01
67,2.02857671e-01,0.00000000e+00,1.00000000,2.02857671e-01
68,1.99769977e-01,0.00000000e+00,1.00000000,1.99769977e-01
69,1.95401245e-01,0.00000000e+00,1.00000000,1.95401245e-01
70,1.95091701e-01,0.00000000e+00,1.00000000,1.95091701e-01
71,1.88014732e-01,0.00000000e+00,1.00000000,1.88014732e-01
72,1.84164321e-01,0.00000000e+00,1.00000000,1.84164321e-01
73,1.81029849e-01,0.00000000e+00,1.00000000,1.81029849e-01
74,1.77439793e-01,0.00000000e+00,1.00000000,1.77439793e-01
75,1.74673127e-01,0.00000000e+00,1.00000000,1.74673127e-01
76,1.68067378e-01,0.00000000e+00,1.00000000,1.68067378e-01
77,1.66526077e-01,0.00000000e+00,1.00000000,1.66526077e-01
78,1.60001584e-01,0.00000000e+00,1.00000000,1.60001584e-01
79,1.58704963e-01,0.00000000e+00,1.00000000,1.58704963e-01
80,1.52686920e-01,0.00000000e+00,1.00000000,1.52686920e-01
81,1.49076936e-01,0.00000000e+00,1.00000000,1.49076936e-01
82,1.45767538e-01,0.00000000e+00,1.00000000,1.45767538e-01
83,1.42409110e-01,0.00000000e+00,1.00000000,1.42409110e-01
84,1.40370388e-01,0.00000000e+00,1.00000000,1.40370388e-01
85,1.38392342e-01,0.00000000e+00,1.00000000,1.38392342e-01
86,1.34739134e-01,0.00000000e+00,1.00000000,1.34739134e-01
87,1.36079917e-01,0.00000000e+00,1.00000000,1.36079917e-01
88,1.31637238e-01,0.00000000e+00,1.00000000,1.31637238e-01
89,1.30913746e-01,0.00000000e+00,1.00000000,1.30913746e-01
90,1.31683735e-01,0.00000000e+00,1.00000000,1.31683735e-01
91,1.26365704e-01,0.00000000e+00,1.00000000,1.26365704e-01
92,1.24666110e-01,0.00000000e+00,1.00000000,1.24666110e-01
93,1.26409007e-01,0.00000000e+00,1.00000000,1.26409007e-01
94,1.22759468e-01,0.00000000e+00,1.00000000,1.22759468e-01
95,1.23558516e-01,0.00000000e+00,1.00000000,1.23558516e-01
96,1.22460209e-01,0.00000000e+00,1.00000000,1.22460209e-01
97,1.20687212e-01,0.00000000e+00,1.00000000,1.20687212e-01
98,1.18382553e-01,0.00000000e+00,1.00000000,1.18382553e-01
99,1.19625765e-01,0.00000000e+00,1.00000000,1.19625765e-01
100,1.16651991e-01,0.00000000e+00,1.00000000,1.16651991e-01
101,1.16541738e-01,0.00000000e+00,1.00000000,1.16541738e-01
102,1.17129344e-01,0.00000000e+00,1.00000000,1.17129344e-01
103,1.15242061e-01,0.00000000e+00,1.00000000,1.15242061e-01
104,1.14546201e-01,0.00000000e+00,1.00000000,1.14546201e-01
105,1.13850029e-01,0.00000000e+00,1.00000000,1.13850029e-01
106,1.12508182e-01,0.00000000e+00,1.00000000,1.12508182e-01
107,1.12084916e-01,0.00000000e+00,1.00000000,1.12084916e-01
108,1.11926465e-01,0.00000000e+00,1.00000000,1.11926465e-01
109,1.10416630e-01,0.00000000e+00,1.00000000,1.10416630e-01
110,1.09219629e-01,0.00000000e+00,1.00000000,1.09219629e-01
111,1.09442717e-01,0.00000000e+00,1.00000000,1.09442717e-01
112,1.07359693e-01,0.00000000e+00,1.00000000,1.07359693e-01
113,1.09928078e-01,0.00000000e+00,1.00000000,1.09928078e-01
114,1.06824816e-01,0.00000000e+00,1.00000000,1.06824816e-01
115,1.06568542e-01,0.00000000e+00,1.00000000,1.06568542e-01
116,1.05578045e-01,0.00000000e+00,1.00000000,1.05578045e-01
117,1.04547101e-01,0.00000000e+00,1.00000000,1.04547101e-01
118,1.02656826e-01,0.00000000e+00,1.00000000,1.02656826e-01
119,1.03894313e-01,0.00000000e+00,1.00000000,1.03894313e-01
120,1.01914574e-01,0.00000000e+00,1.00000000,1.01914574e-01
121,1.04973241e-01,0.00000000e+00,1.00000000,1.04973241e-01
122,1.00524573e-01,0.00000000e+00,1.00000000,1.00524573e-01
123,1.00266501e-01,0.00000000e+00,1.00000000,1.00266501e-01
124,9.93870582e-02,0.00000000e+00,1.00000000,9.93870582e-02
125,9.76786045e-02,0.00000000e+00,1.00000000,9.76786045e-02
126,9.65807177e-02,0.00000000e+00,1.00000000,9.65807177e-02
127,9.48936967e-02,0.00000000e+00,1.00000000,9.48936967e-02
128,9.40661875e-02,0.00000000e+00,1.00000000,9.40661875e-02
129,9.23059531e-02,0.00000000e+00,1.00000000,9.23059531e-02
130,9.26508500e-02,0.00000000e+00,1.00000000,9.26508500e-02
131,9.21691169e-02,0.00000000e+00,1.00000000,9.21691169e-02
132,8.92255455e-02,0.00000000e+00,1.00000000,8.92255455e-02
133,8.83972782e-02,0.00000000e+00,1.00000000,8.83972782e-02
134,8.65797715e-02,0.00000000e+00,1.00000000,8.65797715e-02
135,8.65862477e-02,0.00000000e+00,1.00000000,8.65862477e-02
136,8.65218476e-02,0.00000000e+00,1.00000000,8.65218476e-02
137,8.38551203e-02,0.00000000e+00,1.00000000,8.38551203e-02
138,8.16786468e-02,0.00000000e+00,1.00000000,8.16786468e-02
139,8.05752199e-02,0.00000000e+00,1.00000000,8.05752199e-02
140,7.87198323e-02,0.00000000e+00,1.00000000,7.87198323e-02
141,7.72000666e-02,0.00000000e+00,1.00000000,7.72000666e-02
142,7.69968795e-02,0.00000000e+00,1.00000000,7.69968795e-02
143,7.55433605e-02,0.00000000e+00,1.00000000,7.55433605e-02
144,7.37714355e-02,0.00000000e+00,1.00000000,7.37714355e-02
145,7.19022579e-02,0.00000000e+00,1.00000000,7.19022579e-02
146,7.05453377e-02,0.00000000e+00,1.00000000,7.05453377e-02
147,7.02577007e-02,0.00000000e+00,1.00000000,7.02577007e-02
148,6.74674862e-02,0.00000000e+00,1.00000000,6.74674862e-02
149,6.60514786e-02,0.00000000e+00,1.00000000,6.60514786e-02
150,6.52712233e-02,0.00000000e+00,1.00000000,6.52712233e-02
151,6.22034711e-02,0.00000000e+00,1.00000000,6.22034711e-02
152,6.01041643e-02,0.00000000e+00,1.00000000,6.01041643e-02
153,5.82970095e-02,0.00000000e+00,1.00000000,5.82970095e-02
154,5.70366845e-02,0.00000000e+00,1.00000000,5.70366845e-02
155,5.42045510e-02,0.00000000e+00,1.00000000,5.42045510e-02
156,5.38883954e-02,0.00000000e+00,1.00000000,5.38883954e-02
157,5.07782890e-02,0.00000000e+00,1.00000000,5.07782890e-02
158,5.00440539e-02,0.00000000e+00,1.00000000,5.00440539e-02
159,4.76838084e-02,0.00000000e+00,1.00000000,4.76838084e-02
160,4.61825178e-02,0.00000000e+00,1.00000000,4.61825178e-02
161,4.44962300e-02,0.00000000e+00,1.00000000,4.44962300e-02
162,4.36096238e-02,0.00000000e+00,1.00000000,4.36096238e-02
163,4.11262758e-02,0.00000000e+00,1.00000000,4.11262758e-02
164,4.09007151e-02,0.00000000e+00,1.00000000,4.09007151e-02
165,3.90233801e-02,0.00000000e+00,1.00000000,3.90233801e-02
166,3.71663010e-02,0.00000000e+00,1.00000000,3.71663010e-02
167,3.56554411e-02,0.00000000e+00,1.00000000,3.56554411e-02
168,3.44039085e-02,0.00000000e+00,1.00000000,3.44039085e-02
169,3.37275645e-02,0.00000000e+00,1.00000000,3.37275645e-02
170,3.30692586e-02,0.00000000e+00,1.00000000,3.30692586e-02
171,3.18129071e-02,0.00000000e+00,1.00000000,3.18129071e-02
172,3.07572369e-02,0.00000000e+00,1.00000000,3.07572369e-02
173,2.94109390e-02,0.00000000e+00,1.00000000,2.94109390e-02
174,2.81375115e-02,0.00000000e+00,1.00000000,2.81375115e-02
175,2.73697624e-02,0.00000000e+00,1.00000000,2.73697624e-02
176,2.61404752e-02,0.00000000e+00,1.00000000,2.61404752e-02
177,2.55993257e-02,0.00000000e+00,1.00000000,2.55993257e-02
178,2.46788907e-02,0.00000000e+00,1.00000000,2.46788907e-02
179,2.40158013e-02,0.00000000e+00,1.00000000,2.40158013e-02
180,2.32108961e-02,0.00000000e+00,1.00000000,2.32108961e-02
181,2.27792642e-02,0.00000000e+00,1.00000000,2.27792642e-02
182,2.18523031e-02,0.00000000e+00,1.00000000,2.18523031e-02
183,2.08455747e-02,0.00000000e+00,1.00000000,2.08455747e-02
184,2.01868977e-02,0.00000000e+00,1.00000000,2.01868977e-02
185,2.01413855e-02,0.00000000e+00,1.00000000,2.01413855e-02
186,1.90594567e-02,0.00000000e+00,1.00000000,1.90594567e-02
187,1.84500718e-02,0.00000000e+00,1.00000000,1.84500718e-02
188,1.76790691e-02,0.00000000e+00,1.00000000,1.76790691e-02
189,1.72368057e-02,0.00000000e+00,1.00000000,1.72368057e-02
190,1.67575768e-02,0.00000000e+00,1.00000000,1.67575768e-02
191,1.58586912e-02,0.00000000e+00,1.00000000,1.58586912e-02
192,1.56852231e-02,0.00000000e+00,1.00000000,1.56852231e-02
193,1.50254353e-02,0.00000000e+00,1.00000000,1.50254353e-02
194,1.47925522e-02,0.00000000e+00,1.00000000,1.47925522e-02
195,1.42021423e-02,0.00000000e+00,1.00000000,1.42021423e-02
196,1.39656137e-02,0.00000000e+00,1.00000000,1.39656137e-02
197,1.35378474e-02,0.00000000e+00,1.00000000,1.35378474e-02
198,1.27856587e-02,0.00000000e+00,1.00000000,1.27856587e-02
199,1.21191478e-02,0.00000000e+00,1.00000000,1.21191478e-02
200,1.22571505e-02,0.00000000e+00,1.00000000,1.22571505e-02
